id,artist.inverted,track,time,genre
168,Vitamin C,The Itch,3:30,Rock
169,"Eastsidaz, The",G'D Up,4:27,Rap
170,Ideal,Whatever,3:48,R&B
171,"Thomas, Carl",Emotional,4:31,Rock
172,Ginuwine,None Of Ur Friends Business,4:12,Rock
173,"Davidson, Clay",Unconditional,3:56,Country
174,DMX,What You Want,4:05,Rap
175,"John, Elton",Someday Out Of The Blue,4:41,Rock
176,Pearl Jam,Nothing As It Seems,5:20,Rock
177,Mya,The Best Of Me,4:12,Rock
178,"Heatherly, Eric",Flowers On The Wall,3:16,Country
179,Eminem,Stan,5:26,Rap
180,"McEntire, Reba",I'll Be,4:23,Country
181,"Lopez, Jennifer",Feelin' Good,4:28,Latin
182,"Urban, Keith",Your Everything,4:10,Country
183,TLC,Dear Lie,4:36,Rock
184,"Gill, Vince",Feels Like Love,4:13,Country
185,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock
186,Bloodhound Gang,The Bad Touch,4:20,R&B
187,"Williams, Robbie",Angels,3:56,Rock
188,"Messina, Jo Dee",Because You Love Me,3:50,Country
189,"Keith, Toby",Country Comes To Town,3:39,Country
190,Beenie Man,Girls Dem Sugar,4:17,Reggae
191,"Hill, Faith",Let's Make Love,4:11,Rap
192,Kelis,Caught Out There,4:09,R&B
193,Jay-Z,Anything,3:41,Rap
194,3 Doors Down,Loser,4:24,Rock
195,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country
196,"Chesney, Kenny",What I Need To Do,4:05,Country
197,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B
198,Da Brat,That's What I'm Looking For,3:44,Rap
199,SheDaisy,This Woman Needs,3:20,Country
200,Papa Roach,Last Resort,3:19,Rock
201,"Adams, Yolanda",Open My Heart,5:30,Gospel
202,Shyne,Bad Boyz,4:22,Rap
203,R.E.M.,The Great Beyond,4:10,Rock
204,"Diffie, Joe",It's Always Somethin',2:55,Country
205,"McGraw, Tim",Some Things Never Change,3:56,Country
206,"Henley, Don",Taking You Home,4:08,Rock
207,Eminem,The Way I Am,4:40,Rap
208,Nas,You Owe Me,3:51,R&B
209,Sister Hazel,Change Your Mind,4:02,Rock
210,Puff Daddy,Best Friend,5:33,Rap
211,"McBride, Martina",There You Are,3:26,Country
212,Usher,Pop Ya Collar,3:36,Rock
213,Lil' Kim,No Matter What They Say,4:12,Rap
214,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock
215,SheDaisy,Deck The Halls,3:46,Country
216,Splender,I Think God Can Explain,3:55,R&B
217,"Simpson, Jessica",Where You Are,3:51,Rock
218,M2M,Mirror Mirror,3:19,Pop
219,Kumbia Kings,U Don't Love Me,3:50,R&B
220,Joe,Treat Her Like A Lady,4:12,Rock
221,"Blige, Mary J.",Deep Inside,5:26,Rock
222,"Price, Kelly",You Should've Told Me,3:12,Rock
223,Changing Faces,That Other Woman,4:00,Rock
224,"Wright, Chely",It Was,3:51,R&B
225,Limp Bizkit,Rollin',4:04,Rock
226,Hot Boys,I Need A Hot Girl,4:16,Rap
227,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap
228,"Adkins, Trace",More,3:05,Country
229,"Dixie Chicks, The",Cold Day In July,5:12,Country
230,"Price, Kelly",As We Lay,6:20,Rock
231,DMX,What's My Name,3:50,Rap
232,"Martin, Ricky",Private Emotion,4:02,Latin
233,Nine Days,If I Am,4:18,Rock
234,"Blige, Mary J.",Give Me You,5:00,Rock
235,Red Hot Chili Peppers,Californication,5:21,Rock
236,Third Eye Blind,Deep Inside Of You,4:10,Rock
237,"Brooks, Garth",Do What You Gotta Do,2:56,Country
238,"Offspring, The",Original Prankster,3:42,Rock
239,"Anthony, Marc",My Baby You,3:59,Latin
240,"Houston, Whitney","Same Script, Different Cast",4:45,Rock
241,D'Angelo,Left & Right,4:35,R&B
242,"Kravitz, Lenny",I Belong To You,4:17,Rock
243,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country
244,Q-Tip,Breathe And Stop,4:06,Rock
245,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country
246,Lil Wayne,Tha Block Is Hot,4:13,Rap
247,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap
248,"Wallflowers, The",Sleepwalker,3:29,Rock
249,Drama,"Left, Right, Left",3:37,Rap
250,Limp Bizkit,N 2 Gether Now,3:55,Rock
251,Lox,"Ryde or Die, Chick",3:56,Rap
252,Ying Yang Twins,Whistle While You Twurk,4:19,Rap
253,"Walker, Clay","Live, Laugh, Love",4:06,Country
254,Metallica,No Leaf Clover (Live),5:43,Rock
255,Yankee Grey,Another Nine Minutes,3:10,Country
256,"Bega, Lou",Tricky Tricky ,3:23,Rock
257,Big Punisher,It's So Hard,3:25,Rap
258,"Worley, Darryl",When You Need My Love,3:35,Country
259,Lil' Kim,How Many Licks?,3:50,Rap
260,"Clark, Terri",A Little Gasoline,3:07,Country
261,"Brock, Chad",A Country Boy Can Survive,3:54,Country
262,"Cagle, Chris",My Love Goes On And On,3:02,Country
263,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country
264,Metallica,I Disappear,4:26,Rock
265,Jay-Z,Hey Papi,3:40,Rap
266,Fatboy Slim,The Rockafeller Skank,4:00,Electronica
267,"Levert, Gerald",Mr. Too Damn Good,4:06,R&B
268,"McKnight, Brian",Stay Or Let It Go,4:32,Rock
269,"Allan, Gary",Smoke Rings In The Dark,4:18,Country
270,Ginuwine,The Best Man I Can Be,4:06,Rock
271,Before Dark,Monica,4:04,Rock
272,"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock
273,Stone Temple Pilots,Sour Girl,4:16,Rock
274,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country
275,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country
276,Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country
277,"Thomas, Carl",Summer Rain,4:57,Rock
278,"Yearwood, Trisha",Real Live Woman,3:55,Country
279,Trick Daddy,Shut Up,4:17,Rap
280,"Moore, Chante",Straight Up,3:40,Rock
281,Cam'ron,What Means The World To You,4:38,Rap
282,Juvenile,U Understand,3:51,Rap
283,"Hollister, Dave",Can't Stay,6:17,Rock
284,Tamia,Can't Go For That,3:38,Rock
285,LFO,West Side Story,3:27,Rock
286,"Paisley, Brad",Me Neither,3:19,Country
287,"Carter, Torrey",Take That,3:43,Rock
288,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B
289,Madison Avenue,Don't Call Me Baby,3:44,Electronica
290,Eve,Got It All,3:48,Rap
291,Limp Bizkit,Re-Arranged,4:08,Rock
292,"Spencer, Tracie",Still In My Heart,4:11,Rock
293,Nu Flavor,3 Little Words,3:54,R&B
294,Tamar,If You Don't Wanna Love Me,4:02,Rock
295,"Levert, Gerald",Baby U Are,4:10,R&B
296,"Hart, Beth",L.A. Song,3:47,Country
297,"Diffie, Joe",The Quittin' Kind,3:23,Country
298,Funkmaster Flex,Do You,4:14,Rap
299,"Price, Kelly",Love Sets You Free,3:46,Rock
300,En Vogue,Riddle,5:10,Rock
301,"Herndon, Ty",No Mercy,4:43,Country
302,Anastacia,I'm Outta Love,4:01,Pop
303,Trina,Pull Over,2:58,Rap
304,Lil' Mo,Ta Da,4:17,Rap
305,A*Teens,Dancing Queen,3:44,Pop
306,"Sheist, Shade",Where I Wanna Be,4:16,Rap
307,De La Soul,All Good?,5:02,Rap
308,"Larrieux, Amel",Get Up,4:02,R&B
309,"Braxton, Toni",Spanish Guitar,4:24,Rock
310,Tuesday,I Know,4:06,Rock
311,LL Cool J,Imagine That,4:00,Rap
312,Master P,Souljas,3:33,Rap
313,Ghostface Killah,Cherchez LaGhost,3:04,R&B
314,"Smith, Will",Freakin' It,3:58,Rap
315,Zombie Nation,Kernkraft 400,3:30,Rock
316,"Eastsidaz, The",Got Beef,3:58,Rap
317,Fragma,Toca's Miracle,3:22,R&B
