iso2,year,new_sp,sex,age,count
AD,1992,,m,6-5,
AD,1993,15.0,m,6-5,
AD,1994,24.0,m,6-5,
AD,1996,8.0,m,6-5,0.0
AD,1997,17.0,m,6-5,6.0
AD,1998,1.0,m,6-5,0.0
AD,1999,4.0,m,6-5,0.0
AD,2000,1.0,m,6-5,0.0
AD,2001,3.0,m,6-5,
AD,2002,2.0,m,6-5,0.0
AD,2003,7.0,m,6-5,0.0
AD,2004,3.0,m,6-5,0.0
AD,2005,5.0,m,6-5,0.0
AD,2006,8.0,m,6-5,1.0
AD,2007,2.0,m,6-5,
AD,2008,3.0,m,6-5,0.0
AD,1989,,m,u,
AD,1990,,m,u,
AD,1991,,m,u,
AD,1992,,m,u,
AD,1993,15.0,m,u,
AD,1994,24.0,m,u,
AD,1996,8.0,m,u,
AD,1997,17.0,m,u,
AD,1998,1.0,m,u,
AD,1999,4.0,m,u,
AD,2000,1.0,m,u,
AD,2001,3.0,m,u,
AD,2002,2.0,m,u,
AD,2003,7.0,m,u,
AD,2004,3.0,m,u,
AD,2005,5.0,m,u,0.0
AD,2006,8.0,m,u,0.0
AD,2007,2.0,m,u,
AD,2008,3.0,m,u,0.0
AE,1980,,f,0-14,
AE,1981,,f,0-14,
AE,1982,,f,0-14,
AE,1983,,f,0-14,
AE,1984,,f,0-14,
AE,1985,,f,0-14,
AE,1986,,f,0-14,
AE,1987,,f,0-14,
AE,1988,,f,0-14,
AE,1989,,f,0-14,
AE,1990,,f,0-14,
AE,1991,,f,0-14,
AE,1992,,f,0-14,
AE,1994,,f,0-14,
AE,1996,,f,0-14,
AE,1998,,f,0-14,
AE,1999,31.0,f,0-14,9.0
AE,2000,73.0,f,0-14,3.0
AE,2001,69.0,f,0-14,
AE,2002,57.0,f,0-14,3.0
AE,2003,77.0,f,0-14,4.0
AE,2004,57.0,f,0-14,3.0
AE,2005,62.0,f,0-14,
AE,2006,52.0,f,0-14,2.0
AE,2007,56.0,f,0-14,1.0
AE,2008,50.0,f,0-14,0.0
AE,1980,,f,0-4,
AE,1981,,f,0-4,
AE,1982,,f,0-4,
AE,1983,,f,0-4,
AE,1984,,f,0-4,
AE,1985,,f,0-4,
AE,1986,,f,0-4,
AE,1987,,f,0-4,
AE,1988,,f,0-4,
AE,1989,,f,0-4,
AE,1990,,f,0-4,
AE,1991,,f,0-4,
AE,1992,,f,0-4,
AE,1994,,f,0-4,
AE,1996,,f,0-4,
AE,1998,,f,0-4,
AE,1999,31.0,f,0-4,
AE,2000,73.0,f,0-4,
AE,2001,69.0,f,0-4,
AE,2002,57.0,f,0-4,
AE,2003,77.0,f,0-4,
AE,2004,57.0,f,0-4,
AE,2005,62.0,f,0-4,
AE,2006,52.0,f,0-4,0.0
AE,2007,56.0,f,0-4,0.0
AE,2008,50.0,f,0-4,0.0
AE,1980,,f,15-24,
AE,1981,,f,15-24,
AE,1982,,f,15-24,
AE,1983,,f,15-24,
AE,1984,,f,15-24,
AE,1985,,f,15-24,
AE,1986,,f,15-24,
AE,1987,,f,15-24,
AE,1988,,f,15-24,
AE,1989,,f,15-24,
AE,1990,,f,15-24,
AE,1991,,f,15-24,
AE,1992,,f,15-24,
AE,1994,,f,15-24,
AE,1996,,f,15-24,
AE,1998,,f,15-24,
AE,1999,31.0,f,15-24,11.0
AE,2000,73.0,f,15-24,16.0
AE,2001,69.0,f,15-24,
AE,2002,57.0,f,15-24,3.0
AE,2003,77.0,f,15-24,9.0
AE,2004,57.0,f,15-24,6.0
AE,2005,62.0,f,15-24,
AE,2006,52.0,f,15-24,6.0
AE,2007,56.0,f,15-24,8.0
AE,2008,50.0,f,15-24,10.0
AE,1980,,f,25-34,
AE,1981,,f,25-34,
AE,1982,,f,25-34,
AE,1983,,f,25-34,
AE,1984,,f,25-34,
AE,1985,,f,25-34,
AE,1986,,f,25-34,
AE,1987,,f,25-34,
AE,1988,,f,25-34,
AE,1989,,f,25-34,
AE,1990,,f,25-34,
AE,1991,,f,25-34,
AE,1992,,f,25-34,
AE,1994,,f,25-34,
AE,1996,,f,25-34,
AE,1998,,f,25-34,
AE,1999,31.0,f,25-34,5.0
AE,2000,73.0,f,25-34,1.0
AE,2001,69.0,f,25-34,
AE,2002,57.0,f,25-34,8.0
AE,2003,77.0,f,25-34,5.0
AE,2004,57.0,f,25-34,2.0
AE,2005,62.0,f,25-34,
AE,2006,52.0,f,25-34,4.0
AE,2007,56.0,f,25-34,6.0
AE,2008,50.0,f,25-34,4.0
AE,1980,,f,35-44,
AE,1981,,f,35-44,
AE,1982,,f,35-44,
AE,1983,,f,35-44,
AE,1984,,f,35-44,
AE,1985,,f,35-44,
AE,1986,,f,35-44,
AE,1987,,f,35-44,
AE,1988,,f,35-44,
AE,1989,,f,35-44,
AE,1990,,f,35-44,
AE,1991,,f,35-44,
AE,1992,,f,35-44,
AE,1994,,f,35-44,
AE,1996,,f,35-44,
AE,1998,,f,35-44,
AE,1999,31.0,f,35-44,3.0
AE,2000,73.0,f,35-44,3.0
AE,2001,69.0,f,35-44,
AE,2002,57.0,f,35-44,3.0
AE,2003,77.0,f,35-44,3.0
AE,2004,57.0,f,35-44,7.0
AE,2005,62.0,f,35-44,
AE,2006,52.0,f,35-44,5.0
AE,2007,56.0,f,35-44,3.0
AE,2008,50.0,f,35-44,1.0
AE,1980,,f,45-54,
AE,1981,,f,45-54,
AE,1982,,f,45-54,
AE,1983,,f,45-54,
AE,1984,,f,45-54,
AE,1985,,f,45-54,
AE,1986,,f,45-54,
AE,1987,,f,45-54,
AE,1988,,f,45-54,
AE,1989,,f,45-54,
AE,1990,,f,45-54,
AE,1991,,f,45-54,
AE,1992,,f,45-54,
AE,1994,,f,45-54,
AE,1996,,f,45-54,
AE,1998,,f,45-54,
AE,1999,31.0,f,45-54,0.0
AE,2000,73.0,f,45-54,0.0
AE,2001,69.0,f,45-54,
AE,2002,57.0,f,45-54,4.0
AE,2003,77.0,f,45-54,3.0
AE,2004,57.0,f,45-54,2.0
AE,2005,62.0,f,45-54,
AE,2006,52.0,f,45-54,3.0
AE,2007,56.0,f,45-54,2.0
AE,2008,50.0,f,45-54,1.0
AE,1980,,f,5-14,
AE,1981,,f,5-14,
AE,1982,,f,5-14,
AE,1983,,f,5-14,
AE,1984,,f,5-14,
AE,1985,,f,5-14,
AE,1986,,f,5-14,
AE,1987,,f,5-14,
AE,1988,,f,5-14,
AE,1989,,f,5-14,
AE,1990,,f,5-14,
AE,1991,,f,5-14,
AE,1992,,f,5-14,
AE,1994,,f,5-14,
AE,1996,,f,5-14,
AE,1998,,f,5-14,
AE,1999,31.0,f,5-14,
AE,2000,73.0,f,5-14,
AE,2001,69.0,f,5-14,
AE,2002,57.0,f,5-14,
AE,2003,77.0,f,5-14,
AE,2004,57.0,f,5-14,
AE,2005,62.0,f,5-14,
AE,2006,52.0,f,5-14,2.0
AE,2007,56.0,f,5-14,1.0
AE,2008,50.0,f,5-14,0.0
AE,1980,,f,55-64,
AE,1981,,f,55-64,
AE,1982,,f,55-64,
AE,1983,,f,55-64,
AE,1984,,f,55-64,
AE,1985,,f,55-64,
AE,1986,,f,55-64,
AE,1987,,f,55-64,
AE,1988,,f,55-64,
AE,1989,,f,55-64,
AE,1990,,f,55-64,
AE,1991,,f,55-64,
AE,1992,,f,55-64,
AE,1994,,f,55-64,
AE,1996,,f,55-64,
AE,1998,,f,55-64,
AE,1999,31.0,f,55-64,3.0
AE,2000,73.0,f,55-64,0.0
AE,2001,69.0,f,55-64,
AE,2002,57.0,f,55-64,10.0
AE,2003,77.0,f,55-64,2.0
AE,2004,57.0,f,55-64,2.0
AE,2005,62.0,f,55-64,
AE,2006,52.0,f,55-64,4.0
AE,2007,56.0,f,55-64,0.0
AE,2008,50.0,f,55-64,3.0
AE,1980,,f,6-5,
AE,1981,,f,6-5,
AE,1982,,f,6-5,
AE,1983,,f,6-5,
AE,1984,,f,6-5,
AE,1985,,f,6-5,
AE,1986,,f,6-5,
AE,1987,,f,6-5,
AE,1988,,f,6-5,
AE,1989,,f,6-5,
AE,1990,,f,6-5,
AE,1991,,f,6-5,
AE,1992,,f,6-5,
AE,1994,,f,6-5,
AE,1996,,f,6-5,
AE,1998,,f,6-5,
AE,1999,31.0,f,6-5,2.0
AE,2000,73.0,f,6-5,4.0
AE,2001,69.0,f,6-5,
AE,2002,57.0,f,6-5,1.0
AE,2003,77.0,f,6-5,4.0
AE,2004,57.0,f,6-5,3.0
AE,2005,62.0,f,6-5,
AE,2006,52.0,f,6-5,5.0
AE,2007,56.0,f,6-5,0.0
AE,2008,50.0,f,6-5,3.0
AE,1980,,f,u,
AE,1981,,f,u,
AE,1982,,f,u,
AE,1983,,f,u,
AE,1984,,f,u,
AE,1985,,f,u,
AE,1986,,f,u,
AE,1987,,f,u,
AE,1988,,f,u,
AE,1989,,f,u,
AE,1990,,f,u,
AE,1991,,f,u,
AE,1992,,f,u,
AE,1994,,f,u,
AE,1996,,f,u,
AE,1998,,f,u,
AE,1999,31.0,f,u,
AE,2000,73.0,f,u,
AE,2001,69.0,f,u,
AE,2002,57.0,f,u,
AE,2003,77.0,f,u,
AE,2004,57.0,f,u,
AE,2005,62.0,f,u,
AE,2006,52.0,f,u,
AE,2007,56.0,f,u,
AE,2008,50.0,f,u,0.0
AE,1980,,m,0-14,
AE,1981,,m,0-14,
AE,1982,,m,0-14,
AE,1983,,m,0-14,
AE,1984,,m,0-14,
AE,1985,,m,0-14,
AE,1986,,m,0-14,
AE,1987,,m,0-14,
AE,1988,,m,0-14,
AE,1989,,m,0-14,
AE,1990,,m,0-14,
AE,1991,,m,0-14,
AE,1992,,m,0-14,
AE,1994,,m,0-14,
AE,1996,,m,0-14,
AE,1998,,m,0-14,
AE,1999,31.0,m,0-14,4.0
AE,2000,73.0,m,0-14,2.0
AE,2001,69.0,m,0-14,
AE,2002,57.0,m,0-14,1.0
AE,2003,77.0,m,0-14,2.0
AE,2004,57.0,m,0-14,1.0
AE,2005,62.0,m,0-14,
AE,2006,52.0,m,0-14,0.0
AE,2007,56.0,m,0-14,2.0
AE,2008,50.0,m,0-14,0.0
AE,1980,,m,0-4,
AE,1981,,m,0-4,
AE,1982,,m,0-4,
AE,1983,,m,0-4,
AE,1984,,m,0-4,
AE,1985,,m,0-4,
AE,1986,,m,0-4,
AE,1987,,m,0-4,
AE,1988,,m,0-4,
AE,1989,,m,0-4,
AE,1990,,m,0-4,
AE,1991,,m,0-4,
AE,1992,,m,0-4,
AE,1994,,m,0-4,
AE,1996,,m,0-4,
AE,1998,,m,0-4,
AE,1999,31.0,m,0-4,
AE,2000,73.0,m,0-4,
AE,2001,69.0,m,0-4,
AE,2002,57.0,m,0-4,
AE,2003,77.0,m,0-4,
AE,2004,57.0,m,0-4,
AE,2005,62.0,m,0-4,
AE,2006,52.0,m,0-4,0.0
AE,2007,56.0,m,0-4,0.0
AE,2008,50.0,m,0-4,0.0
AE,1980,,m,15-24,
AE,1981,,m,15-24,
AE,1982,,m,15-24,
AE,1983,,m,15-24,
AE,1984,,m,15-24,
AE,1985,,m,15-24,
AE,1986,,m,15-24,
AE,1987,,m,15-24,
AE,1988,,m,15-24,
AE,1989,,m,15-24,
AE,1990,,m,15-24,
AE,1991,,m,15-24,
AE,1992,,m,15-24,
AE,1994,,m,15-24,
AE,1996,,m,15-24,
AE,1998,,m,15-24,
AE,1999,31.0,m,15-24,9.0
AE,2000,73.0,m,15-24,4.0
AE,2001,69.0,m,15-24,
AE,2002,57.0,m,15-24,2.0
AE,2003,77.0,m,15-24,10.0
AE,2004,57.0,m,15-24,7.0
AE,2005,62.0,m,15-24,
AE,2006,52.0,m,15-24,5.0
AE,2007,56.0,m,15-24,5.0
AE,2008,50.0,m,15-24,6.0
AE,1980,,m,25-34,
AE,1981,,m,25-34,
AE,1982,,m,25-34,
AE,1983,,m,25-34,
AE,1984,,m,25-34,
AE,1985,,m,25-34,
AE,1986,,m,25-34,
AE,1987,,m,25-34,
AE,1988,,m,25-34,
AE,1989,,m,25-34,
AE,1990,,m,25-34,
AE,1991,,m,25-34,
AE,1992,,m,25-34,
AE,1994,,m,25-34,
AE,1996,,m,25-34,
AE,1998,,m,25-34,
AE,1999,31.0,m,25-34,3.0
AE,2000,73.0,m,25-34,4.0
AE,2001,69.0,m,25-34,
AE,2002,57.0,m,25-34,0.0
AE,2003,77.0,m,25-34,8.0
AE,2004,57.0,m,25-34,6.0
AE,2005,62.0,m,25-34,
AE,2006,52.0,m,25-34,3.0
AE,2007,56.0,m,25-34,6.0
AE,2008,50.0,m,25-34,1.0
AE,1980,,m,35-44,
AE,1981,,m,35-44,
AE,1982,,m,35-44,
AE,1983,,m,35-44,
AE,1984,,m,35-44,
AE,1985,,m,35-44,
AE,1986,,m,35-44,
AE,1987,,m,35-44,
AE,1988,,m,35-44,
AE,1989,,m,35-44,
AE,1990,,m,35-44,
AE,1991,,m,35-44,
AE,1992,,m,35-44,
AE,1994,,m,35-44,
AE,1996,,m,35-44,
AE,1998,,m,35-44,
AE,1999,31.0,m,35-44,2.0
AE,2000,73.0,m,35-44,6.0
AE,2001,69.0,m,35-44,
AE,2002,57.0,m,35-44,6.0
AE,2003,77.0,m,35-44,12.0
AE,2004,57.0,m,35-44,7.0
AE,2005,62.0,m,35-44,
AE,2006,52.0,m,35-44,7.0
AE,2007,56.0,m,35-44,3.0
AE,2008,50.0,m,35-44,7.0
AE,1980,,m,45-54,
AE,1981,,m,45-54,
AE,1982,,m,45-54,
AE,1983,,m,45-54,
AE,1984,,m,45-54,
AE,1985,,m,45-54,
AE,1986,,m,45-54,
AE,1987,,m,45-54,
AE,1988,,m,45-54,
AE,1989,,m,45-54,
AE,1990,,m,45-54,
AE,1991,,m,45-54,
AE,1992,,m,45-54,
AE,1994,,m,45-54,
AE,1996,,m,45-54,
AE,1998,,m,45-54,
AE,1999,31.0,m,45-54,4.0
AE,2000,73.0,m,45-54,5.0
AE,2001,69.0,m,45-54,
AE,2002,57.0,m,45-54,6.0
AE,2003,77.0,m,45-54,3.0
AE,2004,57.0,m,45-54,3.0
AE,2005,62.0,m,45-54,
AE,2006,52.0,m,45-54,3.0
AE,2007,56.0,m,45-54,4.0
AE,2008,50.0,m,45-54,5.0
AE,1980,,m,5-14,
AE,1981,,m,5-14,
AE,1982,,m,5-14,
AE,1983,,m,5-14,
AE,1984,,m,5-14,
AE,1985,,m,5-14,
AE,1986,,m,5-14,
AE,1987,,m,5-14,
AE,1988,,m,5-14,
AE,1989,,m,5-14,
AE,1990,,m,5-14,
AE,1991,,m,5-14,
AE,1992,,m,5-14,
AE,1994,,m,5-14,
AE,1996,,m,5-14,
AE,1998,,m,5-14,
AE,1999,31.0,m,5-14,
AE,2000,73.0,m,5-14,
AE,2001,69.0,m,5-14,
AE,2002,57.0,m,5-14,
AE,2003,77.0,m,5-14,
AE,2004,57.0,m,5-14,
AE,2005,62.0,m,5-14,
AE,2006,52.0,m,5-14,0.0
AE,2007,56.0,m,5-14,2.0
AE,2008,50.0,m,5-14,0.0
AE,1980,,m,55-64,
AE,1981,,m,55-64,
AE,1982,,m,55-64,
AE,1983,,m,55-64,
AE,1984,,m,55-64,
AE,1985,,m,55-64,
AE,1986,,m,55-64,
AE,1987,,m,55-64,
AE,1988,,m,55-64,
AE,1989,,m,55-64,
AE,1990,,m,55-64,
AE,1991,,m,55-64,
AE,1992,,m,55-64,
AE,1994,,m,55-64,
AE,1996,,m,55-64,
AE,1998,,m,55-64,
AE,1999,31.0,m,55-64,6.0
AE,2000,73.0,m,55-64,12.0
AE,2001,69.0,m,55-64,
AE,2002,57.0,m,55-64,10.0
AE,2003,77.0,m,55-64,2.0
AE,2004,57.0,m,55-64,1.0
AE,2005,62.0,m,55-64,
